ID,Lng,Lat,Elevation,MAT,MAP,PAR,NDVI,Clay,Silt,Sand,AGB
210,117.58,43.71,1472,1.573,431.994,2267.84,0.3617,21,54,25,0.052
211,116.78,44.01,1234,2.2126,361.959,2231.01,0.2942,10,21,69,0.052
212,115.94,44.33,947,3.6296,278.247,2208.31,0.2333,17,46,37,0.039
213,116.25,44.22,1050,3.1737,306.5,2214.17,0.2511,22,41,37,0.034
214,117.98,43.58,859,5.1565,361.941,2267.69,0.277,12,24,64,0.037
215,116.78,44.04,1241,2.2414,360.449,2229.88,0.2935,10,21,69,0.04
216,116.89,44,1253,2.1652,368.749,2233.41,0.3068,10,21,69,0.048
217,116.47,44.16,1104,2.83,326.199,2218.44,0.2617,10,21,69,0.051
218,116.76,44.06,1240,2.2471,358.347,2228.76,0.2933,10,21,69,0.043
219,115.93,44.38,949,3.5297,278.1,2206.65,0.2359,22,42,36,0.041
220,115.71,44.48,1100,2.7299,286.223,2209.84,0.2377,21,42,37,0.036
221,116.45,44.2,1091,2.9774,319.878,2216.32,0.2596,10,21,69,0.045
222,115.91,44.48,990,3.2562,280.348,2204.5,0.232,21,42,37,0.031
223,118.54,43.53,689,6.395,356.292,2285.56,0.2436,36,38,26,0.057
224,117.55,43.97,1640,0.355,448.826,2260.68,0.345,21,54,25,0.067
225,120.7,42.9,363,7.8953,396.39,2243.16,0.2482,5,6,89,0.038
226,115.78,44.73,998,2.9954,273.906,2198.36,0.2182,21,42,37,0.044
227,117.46,44.1,1291,2.0314,391.879,2241.29,0.3327,23,54,23,0.066
228,120.69,42.92,361,7.9501,393.632,2245.89,0.2471,5,6,89,0.046
229,120.7,42.92,360,7.9517,393.756,2245.4,0.2469,5,6,89,0.0318
230,120.71,42.92,360,7.9507,394.23,2244.9,0.2467,5,6,89,0.0557
231,120.71,42.97,351,7.939,391.537,2250.2,0.2405,5,6,89,0.038
232,120.72,42.99,350,7.9483,390.348,2251.78,0.235,5,6,89,0.046
233,120.72,43.01,350,7.9493,389.604,2253.83,0.2302,5,6,89,0.043
234,117.02,44.39,1073,2.5899,342.762,2211.76,0.2864,10,21,69,0.035
235,115.79,44.87,992,2.8858,273.443,2194.42,0.2328,21,42,37,0.035
236,119.11,43.63,777,5.7565,388.859,2305.52,0.2589,22,42,36,0.046
237,116.03,44.84,875,3.5833,265.833,2189.01,0.2217,21,42,37,0.048
238,120.77,43.1,331,7.9727,384.472,2259.25,0.2146,22,39,38,0.037
239,117.19,44.47,1048,2.6114,344.061,2209.49,0.2844,34,37,29,0.049
240,116.11,44.95,899,3.1339,276.835,2186.08,0.2195,21,42,37,0.028
241,116.29,44.89,897,3.3679,278.428,2186.15,0.221,27,34,39,0.045
242,115.41,45.33,1326,1.0415,302.562,2202.6,0.246,17,33,50,0.049
243,116.24,45.01,838,3.3546,274.392,2181.69,0.222,21,42,37,0.031
244,117.68,44.51,1059,2.477,364.868,2217.16,0.308,21,42,37,0.062
245,117.67,44.55,1040,2.5871,359.047,2214.09,0.3031,23,37,40,0.054
246,118.42,44.28,1155,2.684,408.488,2257.61,0.3683,5,6,89,0.097
247,119.32,43.95,537,6.6464,360.969,2289.47,0.2802,12,29,59,0.067
248,118.69,44.23,1228,3.0603,414.088,2272.59,0.3088,22,51,27,0.082
249,118.7,44.23,1226,2.7108,424.472,2272.86,0.3096,21,54,25,0.104
250,119.51,43.94,501,6.837,360.376,2292.1,0.2664,21,42,36,0.057
251,115.78,45.36,1071,2.2325,282.543,2187.74,0.2409,23,19,58,0.041
252,116.42,45.13,848,3.3757,277.173,2177.71,0.2181,26,45,29,0.048
253,119.76,43.88,456,6.8286,364.533,2296.15,0.2821,21,42,37,0.072
254,116.54,45.1,851,3.3351,282.35,2177.81,0.2322,26,45,29,0.041
255,120.39,43.71,347,7.3954,361.044,2292.31,0.2452,18,48,34,0.051
256,119.99,43.89,478,6.4883,374.612,2295.49,0.2499,21,42,37,0.059
257,116.58,45.24,847,3.1679,284.481,2174.05,0.2176,18,46,37,0.035
258,116.67,45.22,894,2.906,294.026,2175.36,0.2157,21,42,37,0.031
259,116.27,45.43,896,2.8473,280.597,2174.57,0.2421,10,21,69,0.033
260,118.36,44.77,1045,2.2277,385.13,2216.36,0.3138,20,46,34,0.077
261,117.91,44.95,959,2.3672,353.59,2193.73,0.2805,20,25,55,0.0553
262,116.72,45.43,858,2.9396,290.487,2169.1,0.2432,21,42,38,0.032
263,116.92,45.43,847,2.9032,296.349,2167.48,0.2403,10,21,69,0.026
264,117.14,45.35,844,2.8416,305.197,2168.76,0.2424,5,7,88,0.031
265,116.7,45.58,1013,1.9907,311.588,2170.53,0.2388,10,21,69,0.027
266,117.04,45.59,911,2.3894,308.688,2164.44,0.252,21,42,37,0.036
267,117.16,45.62,1067,1.4599,335.203,2167.25,0.2748,10,21,69,0.033
268,117.13,45.68,994,1.7428,325.366,2163.69,0.2801,20,39,41,0.0583
269,119.16,44.97,1191,1.1814,437.212,2215.39,0.3523,23,54,23,0.056
270,116.53,45.99,884,2.4845,288.373,2161.73,0.2718,17,30,52,0.043
271,116.51,46.08,828,2.6406,283.066,2159.11,0.2653,21,42,37,0.045
272,116.89,45.94,1034,1.2976,326.735,2161.21,0.2987,22,42,36,0.049
273,117.13,45.96,1002,1.3542,328.756,2156.41,0.2975,10,21,69,0.067
274,121.18,44.47,218,7.8338,354.622,2193.5,0.2712,21,41,38,0.055
275,116.74,46.17,884,2.165,297.806,2154.72,0.2779,9,11,80,0.048
276,118.81,45.37,895,1.651,385.46,2172.34,0.2837,6,8,86,0.042
277,117.14,46.07,940,1.6721,318.438,2151.57,0.2845,22,43,35,0.045
278,120.76,44.75,394,6.7855,377.904,2187.47,0.3203,10,17,73,0.056
279,117.72,45.97,1014,0.7099,356.155,2149.07,0.2887,17,34,49,0.043
280,118.34,45.74,853,1.3763,359.858,2149.33,0.268,25,42,33,0.0437
281,117.77,45.97,1054,0.3567,366.74,2149.66,0.293,16,32,52,0.037
282,118.09,45.85,939,1.0413,358.259,2148.25,0.2827,22,42,36,0.041
283,118.03,45.91,977,0.7097,364.45,2147.13,0.295,12,23,65,0.045
284,118.41,45.78,893,1.1708,366.13,2147.8,0.2648,22,43,35,0.051
285,118.25,45.85,927,0.8844,366.885,2146.47,0.2773,10,21,69,0.038
286,117.88,46.03,1117,0.0138,376.652,2147.74,0.3091,10,21,69,0.047
287,118.66,45.75,907,1.0084,380.397,2147.83,0.2691,22,42,36,0.037
288,118.7,45.76,900,1.0079,381.808,2146.62,0.2692,24,39,36,0.054
289,119.26,45.58,927,1.2626,410.902,2153.95,0.2923,19,37,44,0.056
290,119.13,45.63,891,1.2643,401.57,2150.71,0.2904,21,43,36,0.042
291,118.11,46.05,952,0.6229,365.503,2139.16,0.2938,19,39,43,0.038
292,117.53,46.28,914,1.0996,335.749,2137.92,0.2776,10,21,69,0.048
293,118.46,45.93,958,0.4521,383.207,2141.01,0.2956,25,45,30,0.055
294,118.14,46.06,966,0.4086,371.708,2138.71,0.2861,16,25,59,0.038
295,118.55,45.91,950,0.602,383.071,2140.82,0.2797,11,22,67,0.065
296,117.72,46.27,842,1.2954,334.641,2132.81,0.2748,16,31,53,0.036
297,118.83,45.88,961,0.3287,403.315,2139.42,0.285,18,47,35,0.072
298,118.35,46.07,1019,0.0633,386.976,2136.88,0.2845,25,47,28,0.08
299,117.83,46.32,826,1.189,338.974,2128.43,0.2675,5,6,89,0.05
300,117.76,46.36,814,1.3105,333.708,2127.84,0.28,20,39,41,0.063
301,117.95,46.29,935,0.3574,363.8,2130.64,0.2585,10,21,69,0.034
302,119.43,45.73,938,1.1169,422.83,2139.75,0.2957,21,37,42,0.068
303,117.63,46.45,889,0.8846,340.698,2129.26,0.2815,22,42,36,0.038
304,119.66,45.69,1006,1.0181,442.182,2140.11,0.2998,21,35,45,0.068
305,117.95,46.37,828,0.959,347.07,2124.2,0.2663,5,6,89,0.057
306,118.31,46.25,909,0.3509,374.446,2125.43,0.2758,15,30,55,0.07
307,118.47,46.23,919,0.3668,380.397,2123.96,0.2785,21,39,40,0.06
308,118.3,46.3,949,0.0417,381.652,2124.33,0.2768,9,16,74,0.059
309,118.56,46.26,896,0.1631,388.805,2120.08,0.2751,5,6,89,0.078
310,118.54,46.27,888,0.3371,383.266,2119.71,0.2754,19,39,42,0.045
311,118.36,46.35,950,-0.0225,384.409,2120.76,0.2801,5,6,89,0.048
312,118.8,46.22,938,0.1051,402.023,2118.99,0.3094,25,47,28,0.052
313,118.35,46.55,830,0.4036,370.274,2107.64,0.2699,42,42,16,0.052
314,118.81,46.37,947,-0.1354,405.955,2110.49,0.2941,24,46,31,0.067
315,118.25,46.62,889,0.1232,373.05,2108.21,0.3032,5,6,89,0.045
316,118.33,46.63,851,0.2065,373.307,2104.73,0.3014,5,6,89,0.051
317,118.42,46.6,836,0.4117,371.905,2103.7,0.282,43,32,23,0.067
318,118.56,46.61,844,0.1717,383.295,2100.09,0.2854,23,27,50,0.071
319,118.99,46.46,952,-0.2852,418.508,2101.33,0.3111,25,47,28,0.081
320,118.73,46.63,901,-0.2252,400.599,2096.48,0.2932,12,20,68,0.067
321,118.9,46.58,929,-0.4216,415.267,2095.9,0.307,22,39,39,0.073
322,119.04,46.57,952,-0.5374,426.403,2093.61,0.3064,24,41,35,0.079
323,119.41,46.53,1071,-0.9143,462.461,2089.43,0.3333,9,16,75,0.063
324,119.86,46.62,1247,-1.867,524.55,2074.81,0.3665,23,54,23,0.087
325,116.56,48.45,630,2.0336,290.691,2137.22,0.2663,21,42,37,0.05
326,119.3,47.65,895,-0.9599,431.298,2012.03,0.3439,21,38,41,0.069
327,118.1,48.2,594,1.6468,320.88,2028.48,0.2523,5,6,89,0.046
328,119.09,47.8,799,-0.4132,404.113,2006.48,0.2764,21,43,36,0.05
329,117.15,48.65,121,2.258,288.521,2077,0.2561,30,44,26,0.05
330,118.16,48.3,592,1.6458,322.043,2020.64,0.2552,32,43,25,0.0455
331,118.82,48.09,783,-0.0116,381.32,1998.54,0.267,22,42,36,0.0503
332,118.6,48.41,752,0.3804,363.402,1991.86,0.2539,21,43,36,0.07
333,119.43,48.15,752,-0.3883,414.532,1964.56,0.3134,5,6,89,0.046
334,119.39,48.18,756,-0.3184,410.259,1964.16,0.3103,5,6,89,0.067
335,119.35,48.21,754,-0.3823,409.362,1963.72,0.3076,22,36,42,0.078
336,119.45,48.22,791,-0.5433,417.691,1959.46,0.3094,5,6,89,0.081
337,119.41,48.3,772,-0.4456,411.566,1954.82,0.3052,21,46,33,0.08
338,118.69,48.61,682,0.7389,354.758,1974.5,0.2888,21,43,36,0.0733
339,119.36,48.36,778,-0.4205,407.417,1953.02,0.3036,21,43,36,0.082
340,119.22,48.42,697,0.0962,387.687,1953.77,0.2993,21,43,36,0.061
341,119.25,48.47,714,-0.0489,391.591,1949.36,0.3166,23,42,35,0.071
342,119.33,48.44,749,-0.2246,399.213,1948.17,0.3101,21,43,36,0.082
343,119.06,48.55,694,0.3074,375.482,1954.49,0.3172,25,47,28,0.087
344,118.15,48.93,550,1.6459,321.846,2002.26,0.2693,21,39,40,0.048
345,119.6,48.34,816,-0.7479,426.76,1944.49,0.307,21,43,36,0.052
346,119.06,48.57,715,0.1842,378.337,1953.9,0.3207,25,47,28,0.069
347,119.66,48.33,798,-0.4918,423.264,1942.18,0.3102,21,43,36,0.061
348,120.47,48.03,939,-0.9634,503.806,1942.93,0.3832,23,44,33,0.097
349,119.05,48.61,734,0.0821,380.248,1952.75,0.3052,25,47,28,0.076
350,118.7,48.76,700,0.4626,361.949,1967.8,0.3005,22,42,36,0.059
351,119.74,48.35,776,-0.5455,427.944,1936.68,0.3129,21,43,36,0.053
352,119.86,48.31,764,-0.6771,438.961,1934.76,0.3217,23,54,23,0.066
353,119.63,48.41,789,-0.5031,419.326,1937.15,0.3039,21,43,36,0.086
354,118.75,48.77,703,0.3922,364.805,1963.86,0.2993,22,42,36,0.073
355,119.83,48.34,752,-0.3953,429.125,1933.2,0.3172,20,42,38,0.063
356,120.43,48.13,953,-1.6196,512.117,1936.16,0.3939,23,51,26,0.098
357,119.27,48.6,758,-0.2528,394.978,1941.17,0.3239,25,47,28,0.061
358,119.08,48.68,680,0.2805,375.14,1945.55,0.3001,24,10,66,0.068
359,119.3,48.6,769,-0.3808,399.369,1939.8,0.3215,25,47,28,0.074
360,119.66,48.46,762,-0.447,417.838,1931.38,0.3112,25,47,28,0.06
361,119.12,48.69,687,0.1845,378.521,1942.72,0.306,24,10,66,0.075
362,119.33,48.61,770,-0.4307,401.31,1937.55,0.321,25,47,28,0.083
363,119.65,48.48,751,-0.3581,414.397,1930.07,0.3125,25,47,28,0.086
364,119.7,48.47,750,-0.3952,418.156,1928.54,0.317,25,47,28,0.087
365,119.15,48.72,677,0.2601,376.706,1938.94,0.3113,24,10,66,0.079
366,120.32,48.25,809,-0.7115,472.789,1925.4,0.4595,23,54,23,0.109
367,119.7,48.5,746,-0.2967,414.203,1926.25,0.3212,25,47,28,0.066
368,120.29,48.27,807,-0.721,469.39,1924.56,0.4941,23,54,23,0.072
369,119.31,48.72,746,-0.3164,395.976,1931.32,0.2956,31,42,27,0.08
370,119.49,48.65,750,-0.3337,402.433,1925.92,0.3295,25,47,28,0.091
371,119.82,48.53,707,-0.2729,417.742,1917.8,0.3169,25,46,29,0.084
372,120.31,48.36,809,-0.715,465.104,1916.65,0.3861,20,43,37,0.0935
373,119.77,48.6,686,-0.1512,409.887,1914.25,0.3132,22,43,35,0.08
374,119.22,48.84,650,0.2611,377.143,1927.46,0.306,21,39,40,0.072
375,119.45,48.75,729,-0.3953,401.051,1921.18,0.302,25,47,28,0.053
376,120.01,48.58,799,-0.9698,442.018,1909.02,0.3278,25,47,28,0.098
377,119.97,48.6,799,-0.8816,436.772,1909.05,0.3235,25,47,28,0.091
378,120.08,48.57,753,-0.5427,435.545,1905.96,0.3325,17,26,57,0.069
379,119.69,48.74,749,-0.6366,414.265,1909.97,0.3191,25,47,28,0.066
380,119.62,48.77,698,-0.2161,400.3,1910.11,0.3126,25,47,28,0.072
381,119.61,48.78,690,-0.1245,397.634,1909.78,0.3082,25,47,28,0.07
382,119.62,48.78,692,-0.1391,398.188,1909.3,0.31,25,47,28,0.059
383,119.67,48.79,692,-0.2637,402.275,1906.16,0.3147,25,47,28,0.084
384,120.51,48.45,860,-0.812,476.024,1905.2,0.3619,23,39,38,0.102
385,119.66,48.8,668,-0.1114,397.812,1905.37,0.3106,25,47,28,0.073
386,119.65,48.82,650,-0.0531,395.43,1904.12,0.3033,25,47,28,0.057
387,119.44,48.92,656,0.0908,385.022,1909.99,0.3063,17,32,51,0.043
388,119.98,48.7,790,-0.8979,433.115,1901.11,0.3239,22,39,39,0.088
389,118.28,49.41,631,1.2295,348.178,1987.18,0.2577,22,43,35,0.068
390,119.49,48.91,658,0.06,387.019,1907.68,0.3069,21,40,39,0.0765
391,119.77,48.8,689,-0.3641,407.59,1900.59,0.3079,25,47,28,0.068
392,119.78,48.8,689,-0.3816,408.389,1900.14,0.3078,25,47,28,0.065
393,119.48,48.93,679,-0.0601,389.626,1907.73,0.3087,14,30,56,0.079
394,119.49,48.93,682,-0.0459,389.447,1907.24,0.3091,21,42,37,0.07
395,119.47,48.94,688,-0.047,388.972,1908.03,0.3094,20,40,40,0.071
396,119.47,48.95,696,-0.0897,390.1,1907.71,0.3104,22,42,36,0.075
397,119.75,48.85,653,-0.162,400.144,1897.36,0.2996,25,47,28,0.082
398,119.89,48.8,667,-0.3169,410.238,1894.56,0.3123,23,54,23,0.056
399,119.78,48.85,662,-0.254,403.34,1896.19,0.3032,25,47,28,0.077
400,120.03,48.79,755,-0.7632,427.166,1891.79,0.3202,5,6,89,0.072
401,119.79,48.89,657,-0.2868,403.318,1893.06,0.3043,25,47,28,0.057
402,120.09,48.79,771,-0.9799,435.626,1889.92,0.3235,13,30,57,0.061
403,118.4,49.49,613,0.8999,364.598,1974.57,0.265,21,44,34,0.072
404,120.11,48.79,768,-0.873,433.191,1889.06,0.3254,23,53,23,0.056
405,119.97,48.85,701,-0.5782,417.553,1888.71,0.3149,19,33,48,0.072
406,119.98,48.86,699,-0.6029,418.044,1887.58,0.3148,21,36,43,0.062
407,118.46,49.49,617,0.9152,365.185,1968.89,0.264,19,38,44,0.049
408,119.54,49.05,705,-0.404,398.125,1898.65,0.2974,21,42,37,0.057
409,119.61,49.07,710,-0.4204,399.119,1893.72,0.2972,21,42,37,0.046
410,119.98,48.92,700,-0.4669,411.871,1883.68,0.3128,23,39,38,0.084
411,120.23,48.82,760,-0.8926,437.188,1882.43,0.3381,26,38,36,0.084
412,119.84,48.98,650,-0.3277,402.686,1884.99,0.311,25,47,28,0.06
413,118.95,49.35,676,0.2599,381.081,1928.65,0.2594,22,42,36,0.06
414,120.22,48.83,775,-1.1112,441.964,1882.48,0.3361,15,11,74,0.067
415,119.61,49.08,701,-0.433,399.325,1892.98,0.2967,15,32,53,0.061
416,119.19,49.28,613,0.404,375.848,1910.02,0.2938,18,34,48,0.071
417,119.61,49.11,695,-0.3808,397.663,1891.33,0.2951,21,39,40,0.069
418,119.98,48.97,699,-0.639,414.416,1880.53,0.3103,6,7,87,0.063
419,119.9,49.02,674,-0.5543,408.555,1880.45,0.3137,25,47,28,0.06
420,120.12,48.96,765,-1.0558,429.735,1877.14,0.3256,5,6,89,0.084
421,120.3,48.89,827,-1.5021,451.858,1876.98,0.3407,5,6,89,0.056
422,119.84,49.11,650,-0.5288,404.058,1877.67,0.2963,25,47,28,0.077
423,119.88,49.13,650,-0.5379,404.661,1874.59,0.2895,25,47,28,0.074
424,120.19,49.09,753,-1.3085,432.328,1865.99,0.3294,23,54,23,0.08
425,119.75,49.28,670,-0.448,398.881,1874.75,0.2922,22,43,35,0.069
426,119.73,49.29,674,-0.5965,402.76,1875.55,0.2941,22,43,35,0.062
427,120.31,49.07,733,-1.1695,432.928,1862.25,0.3346,23,54,23,0.087
428,120.32,49.07,724,-1.0519,430.358,1861.66,0.3349,23,54,23,0.06
429,120.3,49.08,744,-1.2007,432.866,1862.28,0.3343,23,54,23,0.07
430,120.05,49.2,642,-0.635,407.404,1862.65,0.2976,25,47,28,0.058
431,120.36,49.15,674,-1.0634,427.764,1854.05,0.3258,18,42,40,0.057
432,120.52,49.1,777,-1.3769,444.492,1854.83,0.343,5,6,89,0.06
433,119.97,49.33,654,-0.7341,406.405,1860.35,0.293,25,47,28,0.095
434,120.39,49.16,689,-1.1243,430.134,1852.82,0.3283,5,6,89,0.072
435,120.06,49.4,647,-0.8449,408.835,1852.61,0.3049,25,47,28,0.07
436,119.8,49.52,650,-0.5402,401.621,1862.04,0.3212,25,45,30,0.087
437,120.06,49.47,727,-1.3936,422.77,1851.8,0.3279,25,47,28,0.081
438,120.23,49.41,652,-1.065,415.678,1844.58,0.3236,23,54,23,0.09
439,119.79,49.62,737,-1.1847,420.311,1861.87,0.3228,29,36,35,0.096
440,119.51,49.8,652,-0.2828,408.943,1874.65,0.3,25,47,28,0.06
441,119.26,49.91,565,0.5739,401.01,1890.89,0.3437,25,47,28,0.05
442,119.63,50,623,-0.4468,417.381,1862.19,0.3203,23,54,23,0.06
443,121.43,49.26,949,-2.2176,511.559,1832.41,0.4006,22,37,41,0.065
444,119.63,50.11,608,-0.2183,416.191,1860.76,0.3364,23,54,23,0.06
445,119.49,50.19,558,0.1125,420.216,1870.05,0.332,23,54,23,0.061
446,119.63,50.2,585,-0.2578,422.046,1859.58,0.3424,23,54,23,0.06
447,120.17,50.2,601,-1.3207,421.528,1822.86,0.339,25,41,34,0.085
448,120.17,50.21,597,-1.2969,420.878,1822.6,0.3393,25,41,34,0.072
